date,title,source,tier,url,nodes,snippet
2026-08-18,鹿児島県の奄美博物館で大学生が学芸員資格目指し実習、資料デジタル化など学ぶ(奄美新聞),Yahoo!ニュース,secondary,https://news.google.com/rss/articles/CBMif0FVX3lxTE16Z0xHTlk5UUZLZXctTWtQSGhtOTgxemlielhibGJ6eFhqQkE5a1dhRU9xQlM0NmVWX29GNWdwclFhNzl5VjB6S09wSkJzc0NHWi04QU1TQkZhakFhLWk3bDZrQWI5cDlRNEE1eVpPYWJIdFQ2YUlBRDR2TmxBR28?oc=5,博物館 目指す 資料,
2026-08-18,第3期文化施設部会 博物館ワーキンググループ(第3回)を開催いたします,文化庁 広報・報道・お知らせ,primary,https://www.bunka.go.jp/koho_hodo_oshirase/hodohappyo/94420601.html,文化庁 文部科学省 文化観光 YouTube ホームページ内 メールアドレス ライブ 会議室 会議資料 会議開催 博物館 参事官 基準 報道関係者 模様 相談窓口 運営 配信 関する,第3期文化施設部会 博物館ワーキンググループ(第3回)を開催いたします 標記会議を下記のとおり開催いたしますので、お知らせいたします。 令和8年8月24日(月)15:00~17:00 文部科学省 17F1会議室 ※WEB会議併用 博物館の設置及び運営上の望ましい基準について 等 報道関係者及び一般の方向けに、WEB会議の模様をYouTube Liveにて配信…
2026-08-18,焼津市 文化会館の内壁タイル改修を来年度に 打診調査を9月委託,建通新聞,secondary,https://news.google.com/rss/articles/CBMigAFBVV95cUxNQXN5Nk1oQmxXQXdFWlZ3d2VRYTJrd3RjVXRvaU5sNVFkQXB6aFNGZHpsOGx2ZXpqNVY5Z1UxVTNLWlhrQmRlOVl6RTFjVWtBVkhmal95bS1aMmFFM2ZmMUtQWC1LMjd5TnpWUnlpcXRFV04teUtVNHBrVk40VVZDUQ?oc=5,改修 文化会館,
2026-08-18,東京駅に“石舞台古墳”出現 世界遺産登録をPR,NHKニュース,secondary,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1wazdFUm5hTGFNb0FlSWg5OUVoOHJVNjVwdGN1YVhQZElNYWViTUU5ZnhRRk5YazF4aGQ0bDFUdjJWOUd3WG5abTk1QkFLbzk0cGZUcHB2eXM?oc=5,世界文化遺産 出現 登録 石舞台古墳,
2026-08-18,日本遺産「薩摩の武士が生きた町~武家屋敷群「麓」を歩く~」紹介,pref.kagoshima.jp,secondary,https://news.google.com/rss/articles/CBMieEFVX3lxTFB0N3UydzN2NDhKSzZFUHZNZVZlX0M3TmlMZjFiU0t3M2FWdVNEWXVqY0pTRXl4cGkwOGhXTWZLSFZhWlFmdFFxX1gyU1Rmdko4VTNNUS03Vkw1d0lsSUxpa3RYYk83eHVnd3lCeU1CbFBwdGpyMHRVTQ?oc=5,日本遺産 生きる,
2026-08-18,宮近海斗×吉澤閑也がサーキットでガチンコカートバトル...!? 勝負の行方はいかに...|Travis JapanノJUST!シン日本遺産 #TVerで見逃し配信 #TELASAでは特別版を配信,YouTube,secondary,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBVQWFWWTJZNk1mWWxraGFOdkxYUjhSeFVWc1RnOXNUOTQ0ZnMtSndSaFYtbVpfX0l4TXFtYWtFc1hnZ1dRcXlZMDg5b05lTkstTGFSdnN4N2c4ZTNj?oc=5,日本遺産 行方 配信,
2026-08-18,奈良県と鉄道3社が世界遺産巡るクイズラリー 10月末から来年3月末まで,観光経済新聞,secondary,https://news.google.com/rss/articles/CBMiVEFVX3lxTFBMNDdXNTNIVzlkSGlLOGtSQnNzQ0FNLVpKdVYtbVRrV3lON2hWbk1NS29LQjlvZU4tVHMtaEM5akJWOW5PMUR6T2RwX3VhaHRPVGFhXw?oc=5,世界文化遺産 奈良県 巡る,
2026-08-18,奈良のキトラ古墳国宝壁画、3面同時公開へ 開館10周年記念,au Webポータル,secondary,https://news.google.com/rss/articles/CBMibkFVX3lxTE1FSGsxd2p3bGc4cWNELVQ4QjFZNXJUOTNZOTg1YnNiZkN6dTNMWnhtSTlzczZTVVMyYVVTU0N6OC1fTnozanpTdVFydnp0SDE1WTNfaGFLa0xmcDhhUUo0WjFyTUpVMWN6N0p0NHJR?oc=5,国宝 亀虎古墳 周年記念 奈良,
2026-08-18,国宝キトラ古墳壁画の公開(第41回),アットプレス,secondary,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1EZi1vb3NKZWVpTG5uVVl4OFBiaU1jNWdDY2k5QzRTOXNZLV9jOHZ0NmRRX19QZlFhdllzMkQzakFIaWZid005VE1BamNvMHc?oc=5,国宝 亀虎古墳壁画,
2026-08-18,国宝キトラ古墳壁画の公開,文化庁 広報・報道・お知らせ,primary,https://www.bunka.go.jp/koho_hodo_oshirase/hodohappyo/94423401.html,文化庁 文化観光 文化資源 国宝 亀虎古墳壁画 亀虎古墳壁画体験 亀虎古墳壁画保存 四神 決定 相談窓口 管理施設 関する,この度、キトラ古墳壁画保存管理施設(キトラ古墳壁画体験館 四神の館 内)で国宝キトラ古墳壁画を公開します。 (同時発表:奈良県政・経済記者クラブ、奈良県文化教育記者クラブ、橿原記者クラブ) 令和8年9月19日(土)~10月18日(日)9時30分~16時30分 (閉室日:9月30日(水)・10月14日(水)) 「キトラ古墳壁画体験館 四神の館」内 キトラ古墳壁…
