Id,Label,kind,group,df,degree,strength,betweenness,community
t:保存,保存,term,term,5,8,5.2236,0.07407,0
t:認定,認定,term,term,5,8,5.1808,0.08665,0
policy:nihon_isan,日本遺産,program,policy,2,6,4.988,0.0,0
t:苦慮,苦慮,term,term,2,6,4.988,0.0,0
t:観光振興,観光振興,term,term,2,6,4.988,0.0,0
org:bunkacho,文化庁,org,other,11,11,4.6931,0.28442,3
t:拡充,拡充,term,term,4,7,4.6646,0.07338,1
t:両立,両立,term,term,4,6,4.3598,0.0,0
policy:bunkazai_bosai,文化財防災,policy,policy,4,6,4.3321,0.01468,3
t:地域,地域,term,term,5,6,3.8388,0.0,0
org:bunka_shingikai,文化審議会,org,other,3,4,3.5232,0.0021,4
t:人材育成,人材育成,term,term,2,4,3.295,0.0,3
t:概算要求,概算要求,term,term,2,4,3.295,0.0,3
t:重点,重点,term,term,2,4,3.295,0.0,3
t:補助,補助,term,term,4,5,3.276,0.02586,1
policy:juyo_bunkazai,重要文化財,program,policy,2,4,3.0912,0.0,1
policy:kokuho,国宝,program,policy,2,4,3.0912,0.0,1
t:地方公共団体,地方公共団体,term,term,9,7,2.9236,0.24109,2
policy:hakubutsukan_toroku,博物館登録制度,program,policy,2,3,2.8808,0.0,4
t:制度,制度,term,term,2,3,2.8808,0.0,4
t:運用,運用,term,term,2,3,2.8808,0.0,4
t:公立劇場,公立劇場,term,term,4,4,2.8618,0.0021,6
t:予算,予算,term,term,5,5,2.8222,0.08106,2
t:学芸員,学芸員,term,term,5,4,2.5994,0.02586,5
org:nich,国立文化財機構,org,other,2,3,2.5924,0.0,1
t:収蔵品,収蔵品,term,term,2,3,2.5924,0.0,1
t:地域枠,地域枠,term,term,2,3,2.5924,0.0,6
t:新設,新設,term,term,2,3,2.5924,0.0,6
t:待遇改善,待遇改善,term,term,2,3,2.5268,0.0,5
t:要望書,要望書,term,term,2,3,2.5268,0.0,5
t:求める,求める,term,term,4,4,2.4732,0.09504,5
policy:dejitaru_archive,デジタルアーカイブ,policy,policy,4,3,2.1848,0.0,1
t:助成,助成,term,term,4,3,2.1848,0.0,6
t:縮小,縮小,term,term,2,3,2.1692,0.0,2
t:改訂,改訂,term,term,3,3,1.9374,0.01153,3
t:事業費,事業費,term,term,3,3,1.9308,0.0,2
policy:bunka_kanko_suishinho,文化観光推進法,law,policy,3,3,1.8718,0.09574,0
t:ガイドライン,ガイドライン,term,term,2,2,1.677,0.0,3
t:育成,育成,term,term,5,3,1.6333,0.05031,7
t:拠点計画,拠点計画,term,term,2,2,1.6114,0.0,0
t:資料,資料,term,term,2,2,1.4612,0.0,2
t:専門人材,専門人材,term,term,4,2,1.4105,0.0,7
policy:shitei_kanrisha,指定管理者制度,program,policy,3,2,1.2884,0.0,7
t:修理,修理,term,term,2,1,1.0,0.0,8
t:費用,費用,term,term,2,1,1.0,0.0,8
t:部会,部会,term,term,2,1,0.8808,0.0,4
t:支援,支援,term,term,3,2,0.8182,0.15269,2
policy:bunkazai_hogoho,文化財保護法,law,policy,2,1,0.7962,0.0,1
t:多言語解説,多言語解説,term,term,2,1,0.7306,0.0,9
t:整備,整備,term,term,5,1,0.7306,0.0,9
policy:gekijoho,劇場法,law,policy,3,1,0.677,0.0,6
policy:bunka_shigen,文化資源,policy,policy,3,1,0.6114,0.0,10
t:活用,活用,term,term,5,1,0.6114,0.0,10
t:修理技術者,修理技術者,term,term,3,1,0.6114,0.0,5
t:連携,連携,term,term,2,1,0.5578,0.0,2
