Source,Target,Type,Weight,cooc,npmi,jaccard,surprise,is_new
t:妖怪画コレクション,t:幽霊,Undirected,1.0,4,1.0,1.0,0.0,False
t:妖怪画コレクション,t:特別展,Undirected,1.0,4,1.0,1.0,0.0,False
t:幽霊,t:特別展,Undirected,1.0,4,1.0,1.0,0.0,False
t:PPP町作り,t:公民連携最前線,Undirected,1.0,3,1.0,1.0,-1.0,False
t:AGU,t:ライフ,Undirected,1.0,3,1.0,1.0,-1.0,False
t:トレード,t:総合文化政策学部フェア,Undirected,1.0,3,1.0,1.0,-1.0,False
t:会社,t:坊ちゃん劇場運営,Undirected,1.0,2,1.0,1.0,-1.0,False
t:不安視,t:雇用,Undirected,1.0,2,1.0,1.0,-1.0,False
t:壁画,t:法隆寺,Undirected,1.0,2,1.0,1.0,-1.0,False
t:上映,t:字幕担当作品,Undirected,1.0,2,1.0,1.0,-1.0,False
t:上映,t:映像翻訳ラボ,Undirected,1.0,2,1.0,1.0,-1.0,False
t:字幕担当作品,t:映像翻訳ラボ,Undirected,1.0,2,1.0,1.0,-1.0,False
t:年フード,t:郷土料理,Undirected,1.0,2,1.0,1.0,-1.0,False
t:metavoyage,t:niboshi,Undirected,1.0,2,1.0,1.0,-1.0,False
t:metavoyage,t:ライブ,Undirected,1.0,2,1.0,1.0,-1.0,False
t:niboshi,t:ライブ,Undirected,1.0,2,1.0,1.0,-1.0,False
t:ノイズム,t:位置付け,Undirected,1.0,2,1.0,1.0,-1.0,False
t:存廃,t:立ち上げる,Undirected,1.0,2,1.0,1.0,-1.0,False
t:存廃,t:綿江彰禅さん,Undirected,1.0,2,1.0,1.0,-1.0,False
t:存廃,t:関わる,Undirected,1.0,2,1.0,1.0,-1.0,False
t:立ち上げる,t:綿江彰禅さん,Undirected,1.0,2,1.0,1.0,-1.0,False
t:立ち上げる,t:関わる,Undirected,1.0,2,1.0,1.0,-1.0,False
t:綿江彰禅さん,t:関わる,Undirected,1.0,2,1.0,1.0,-1.0,False
t:マネロン,t:宗教,Undirected,1.0,2,1.0,1.0,-1.0,False
t:マネロン,t:脱税,Undirected,1.0,2,1.0,1.0,-1.0,False
t:宗教,t:脱税,Undirected,1.0,2,1.0,1.0,-1.0,False
t:交流支援制度,t:文化芸術団体等,Undirected,1.0,2,1.0,1.0,-1.0,False
t:交流支援制度,t:施設等,Undirected,1.0,2,1.0,1.0,-1.0,False
t:文化芸術団体等,t:施設等,Undirected,1.0,2,1.0,1.0,-1.0,False
