Id,Label,kind,group,df,degree,strength,betweenness,community
org:bunkacho,文化庁,org,other,201,40,12.8349,0.26724,3
policy:sekai_bunka_isan,世界文化遺産,program,policy,134,27,11.1075,0.06864,0
org:bunka_shingikai,文化審議会,org,other,55,21,10.5936,0.07746,2
t:登録,登録,term,term,113,26,10.0899,0.05827,0
t:答申,答申,term,term,26,15,9.1712,0.03142,2
t:博物館,博物館,term,term,51,21,8.9306,0.11242,1
policy:chosakukenho,著作権法,law,policy,33,15,8.8149,0.04114,8
t:藤原,藤原,term,term,65,17,8.7834,0.01453,0
t:飛鳥,飛鳥,term,term,68,17,8.7378,0.01453,0
t:枚目,枚目,term,term,31,15,8.4302,0.0635,1
t:解説,解説,term,term,19,13,7.8326,0.02061,1
t:認定,認定,term,term,55,14,7.2277,0.06161,4
t:対応要領,対応要領,term,term,4,8,6.656,0.00203,3
t:差別,差別,term,term,4,8,6.656,0.00203,3
t:解消,解消,term,term,4,8,6.656,0.00203,3
t:宮都,宮都,term,term,52,12,6.6255,0.00893,0
t:関する,関する,term,term,25,11,6.562,0.00521,3
t:採択先,採択先,term,term,5,8,6.4339,0.00011,11
t:障害,障害,term,term,5,8,6.397,0.00203,3
t:地域計画,地域計画,term,term,21,10,6.385,0.00708,4
t:相談窓口,相談窓口,term,term,6,8,6.2779,0.00203,3
policy:bunka_kanko_suishinho,文化観光推進法,law,policy,24,10,6.2473,0.02354,4
t:克彦,克彦,term,term,4,7,5.8682,0.0,2
t:議決,議決,term,term,4,7,5.8682,0.0,2
t:同審議会文化財分科会,同審議会文化財分科会,term,term,5,7,5.7684,0.0,2
t:理由,理由,term,term,9,8,5.7613,0.00203,3
t:決定,決定,term,term,32,11,5.7216,0.08052,11
t:審議,審議,term,term,8,8,5.6698,0.00414,2
t:文部科学大臣,文部科学大臣,term,term,6,7,5.4647,0.0,2
t:職員,職員,term,term,10,7,5.394,0.0,3
t:コミケ,コミケ,term,term,5,6,5.3931,0.0,1
t:弁理士,弁理士,term,term,5,6,5.3931,0.0,1
t:次創作,次創作,term,term,5,6,5.3931,0.0,1
t:想定,想定,term,term,4,8,5.3296,0.02374,1
t:ポイント,ポイント,term,term,6,6,5.2361,0.0,1
t:行方,行方,term,term,6,6,5.2361,0.0,1
t:中期目標,中期目標,term,term,5,8,5.0806,0.02374,1
t:改正,改正,term,term,38,9,5.0122,0.02895,8
t:経る,経る,term,term,11,7,4.8617,0.0,2
t:中止,中止,term,term,25,9,4.8158,0.05741,5
policy:shitei_kanrisha,指定管理者制度,program,policy,44,12,4.6729,0.17771,7
t:閉館,閉館,term,term,9,8,4.5936,0.02374,1
t:YouTube,YouTube,term,term,7,7,4.5928,0.01962,13
t:国立,国立,term,term,7,7,4.5834,0.0,1
t:委員会,委員会,term,term,28,11,4.573,0.12491,0
t:文化,文化,term,term,63,12,4.5227,0.15057,6
t:明記,明記,term,term,7,7,4.5153,0.0,1
t:美術館,美術館,term,term,48,11,4.4772,0.10188,1
t:改正案,改正案,term,term,17,6,4.3642,5e-05,8
t:遠慮,遠慮,term,term,10,5,4.3018,7e-05,14
t:専門人材育成,専門人材育成,term,term,4,5,4.161,0.0,11
org:kanko_cho,観光庁,org,other,13,6,4.112,0.00041,4
t:コンテンツ制作,コンテンツ制作,term,term,4,5,3.9962,0.0,11
policy:nihon_isan,日本遺産,program,policy,57,9,3.9602,0.04999,9
t:拠点計画,拠点計画,term,term,14,5,3.8489,0.0,4
t:中核,中核,term,term,8,5,3.7977,0.0,11
t:無断,無断,term,term,5,4,3.7794,0.0,14
t:録画,録画,term,term,5,4,3.7794,0.0,14
t:録音,録音,term,term,5,4,3.7794,0.0,14
t:改修,改修,term,term,21,7,3.7462,0.03415,10
t:閣議決定,閣議決定,term,term,8,5,3.7345,1e-05,8
t:件目,件目,term,term,5,6,3.7176,0.01693,4
t:保持者,保持者,term,term,6,5,3.716,0.0004,2
t:認定等,認定等,term,term,6,5,3.716,0.0004,2
t:県内,県内,term,term,6,6,3.628,0.01693,4
t:報道,報道,term,term,8,5,3.539,0.0,4
org:arts_council_tokyo,アーツカウンシル東京,org,other,12,5,3.503,0.01962,7
t:コラボ,コラボ,term,term,8,5,3.477,0.01147,15
t:撮影,撮影,term,term,9,4,3.4758,0.0,14
t:アートマネージメント人材等,アートマネージメント人材等,term,term,13,4,3.4334,0.0,7
t:海外派遣プログラム,海外派遣プログラム,term,term,13,4,3.4334,0.0,7
t:奈良,奈良,term,term,17,7,3.4313,2e-05,0
t:派遣参加者,派遣参加者,term,term,5,4,3.3096,0.0,7
t:模様,模様,term,term,4,4,3.2816,0.0,13
t:発信,発信,term,term,11,5,3.2699,0.0,11
t:公募開始,公募開始,term,term,17,4,3.2542,0.0,7
t:生態,生態,term,term,4,4,3.2359,0.0,15
t:監督,監督,term,term,4,4,3.2359,0.0,15
t:産経新聞,産経新聞,term,term,5,6,3.1881,0.0,0
t:ライブ,ライブ,term,term,7,4,3.181,0.0,13
t:配信,配信,term,term,7,4,3.181,0.0,13
t:強化基金,強化基金,term,term,7,4,3.1605,0.0,11
t:文化芸術活動基盤,文化芸術活動基盤,term,term,7,4,3.1605,0.0,11
t:策定,策定,term,term,25,6,3.1574,0.00569,4
